Name,Fibered,Crossing Number,Genus-3D,Arc Index,Grid Notation
13n_4229,Y,13,4,12,[[1;1];[1;3];[2;2];[2;5];[3;3];[3;8];[4;6];[4;11];[5;1];[5;9];[6;4];[6;10];[7;5];[7;12];[8;7];[8;11];[9;2];[9;8];[10;6];[10;12];[11;4];[11;9];[12;7];[12;10]]
13n_4231,Y,13,5,12,[[1;2];[1;9];[2;7];[2;12];[3;1];[3;10];[4;8];[4;11];[5;5];[5;9];[6;6];[6;12];[7;4];[7;10];[8;7];[8;11];[9;5];[9;8];[10;3];[10;6];[11;2];[11;4];[12;1];[12;3]]
13n_4236,Y,13,3,12,[[1;1];[1;3];[2;2];[2;5];[3;3];[3;6];[4;4];[4;8];[5;7];[5;12];[6;1];[6;10];[7;8];[7;11];[8;5];[8;9];[9;6];[9;12];[10;2];[10;10];[11;7];[11;11];[12;4];[12;9]]
13n_4238,Y,13,4,12,[[1;5];[1;10];[2;2];[2;9];[3;7];[3;11];[4;1];[4;10];[5;8];[5;12];[6;6];[6;9];[7;4];[7;11];[8;7];[8;12];[9;5];[9;8];[10;3];[10;6];[11;2];[11;4];[12;1];[12;3]]
13n_4241,Y,13,4,12,[[1;8];[1;12];[2;6];[2;10];[3;2];[3;9];[4;8];[4;11];[5;1];[5;10];[6;7];[6;12];[7;5];[7;9];[8;6];[8;11];[9;4];[9;7];[10;3];[10;5];[11;2];[11;4];[12;1];[12;3]]
13n_4242,Y,13,4,12,[[1;1];[1;3];[2;2];[2;4];[3;3];[3;6];[4;5];[4;9];[5;8];[5;11];[6;4];[6;10];[7;7];[7;11];[8;1];[8;9];[9;6];[9;12];[10;2];[10;8];[11;5];[11;10];[12;7];[12;12]]
13n_4244,Y,13,5,12,[[1;5];[1;8];[2;6];[2;11];[3;2];[3;10];[4;7];[4;12];[5;5];[5;11];[6;1];[6;9];[7;8];[7;12];[8;7];[8;10];[9;4];[9;9];[10;3];[10;6];[11;2];[11;4];[12;1];[12;3]]
13n_4254,Y,13,4,12,[[1;1];[1;3];[2;2];[2;5];[3;3];[3;7];[4;4];[4;9];[5;6];[5;12];[6;1];[6;11];[7;8];[7;12];[8;2];[8;9];[9;5];[9;10];[10;4];[10;7];[11;8];[11;11];[12;6];[12;10]]
13n_4257,Y,13,4,12,[[1;1];[1;3];[2;2];[2;4];[3;3];[3;6];[4;5];[4;8];[5;7];[5;10];[6;4];[6;8];[7;6];[7;11];[8;1];[8;9];[9;7];[9;12];[10;2];[10;11];[11;5];[11;10];[12;9];[12;12]]
13n_4258,Y,13,4,12,[[1;1];[1;3];[2;2];[2;4];[3;3];[3;6];[4;5];[4;10];[5;7];[5;12];[6;1];[6;8];[7;6];[7;9];[8;4];[8;7];[9;5];[9;11];[10;8];[10;12];[11;2];[11;10];[12;9];[12;11]]
13n_4270,Y,13,4,12,[[1;1];[1;3];[2;2];[2;5];[3;4];[3;7];[4;6];[4;8];[5;7];[5;11];[6;3];[6;10];[7;8];[7;12];[8;1];[8;11];[9;5];[9;12];[10;4];[10;9];[11;6];[11;10];[12;2];[12;9]]
13n_4271,Y,13,4,12,[[1;1];[1;3];[2;2];[2;4];[3;3];[3;6];[4;5];[4;10];[5;4];[5;7];[6;6];[6;9];[7;8];[7;12];[8;1];[8;10];[9;7];[9;11];[10;9];[10;12];[11;5];[11;11];[12;2];[12;8]]
13n_4273,Y,13,4,12,[[1;1];[1;3];[2;2];[2;5];[3;4];[3;7];[4;5];[4;12];[5;6];[5;9];[6;8];[6;10];[7;3];[7;9];[8;7];[8;11];[9;4];[9;10];[10;1];[10;8];[11;6];[11;12];[12;2];[12;11]]
13n_4274,Y,13,4,12,[[1;1];[1;3];[2;2];[2;4];[3;3];[3;6];[4;5];[4;8];[5;7];[5;11];[6;4];[6;10];[7;9];[7;12];[8;1];[8;11];[9;6];[9;12];[10;2];[10;8];[11;7];[11;10];[12;5];[12;9]]
13n_4276,Y,13,5,12,[[1;1];[1;3];[2;2];[2;5];[3;3];[3;6];[4;4];[4;8];[5;7];[5;12];[6;1];[6;11];[7;5];[7;9];[8;6];[8;12];[9;2];[9;10];[10;8];[10;11];[11;4];[11;9];[12;7];[12;10]]
13n_4286,Y,13,3,12,[[1;1];[1;3];[2;2];[2;4];[3;3];[3;6];[4;4];[4;8];[5;5];[5;9];[6;7];[6;11];[7;1];[7;10];[8;6];[8;12];[9;2];[9;11];[10;5];[10;8];[11;9];[11;12];[12;7];[12;10]]
13n_4287,Y,13,3,12,[[1;1];[1;3];[2;2];[2;5];[3;3];[3;7];[4;4];[4;12];[5;6];[5;10];[6;1];[6;8];[7;5];[7;11];[8;9];[8;12];[9;2];[9;10];[10;7];[10;11];[11;4];[11;8];[12;6];[12;9]]
13n_4308,Y,13,3,12,[[1;1];[1;3];[2;2];[2;5];[3;3];[3;6];[4;4];[4;10];[5;5];[5;12];[6;1];[6;8];[7;7];[7;11];[8;9];[8;12];[9;2];[9;10];[10;8];[10;11];[11;6];[11;9];[12;4];[12;7]]
13n_4322,Y,13,4,12,[[1;1];[1;3];[2;2];[2;4];[3;3];[3;6];[4;5];[4;8];[5;1];[5;7];[6;6];[6;10];[7;8];[7;12];[8;4];[8;9];[9;7];[9;11];[10;2];[10;10];[11;9];[11;12];[12;5];[12;11]]
13n_4324,Y,13,4,12,[[1;7];[1;11];[2;9];[2;12];[3;2];[3;10];[4;5];[4;11];[5;1];[5;8];[6;6];[6;9];[7;7];[7;12];[8;5];[8;10];[9;4];[9;8];[10;3];[10;6];[11;2];[11;4];[12;1];[12;3]]
13n_4332,Y,13,4,12,[[1;2];[1;9];[2;5];[2;10];[3;8];[3;11];[4;7];[4;12];[5;6];[5;9];[6;4];[6;10];[7;8];[7;12];[8;1];[8;7];[9;5];[9;11];[10;3];[10;6];[11;2];[11;4];[12;1];[12;3]]
13n_4333,Y,13,4,12,[[1;4];[1;7];[2;6];[2;12];[3;5];[3;9];[4;8];[4;11];[5;2];[5;10];[6;7];[6;12];[7;4];[7;11];[8;1];[8;9];[9;6];[9;10];[10;3];[10;8];[11;2];[11;5];[12;1];[12;3]]
13n_4336,Y,13,4,12,[[1;9];[1;12];[2;6];[2;11];[3;2];[3;10];[4;5];[4;12];[5;4];[5;8];[6;7];[6;11];[7;6];[7;9];[8;1];[8;8];[9;5];[9;10];[10;3];[10;7];[11;2];[11;4];[12;1];[12;3]]
13n_4340,Y,13,4,12,[[1;6];[1;10];[2;2];[2;8];[3;4];[3;11];[4;9];[4;12];[5;7];[5;11];[6;1];[6;8];[7;5];[7;10];[8;6];[8;12];[9;4];[9;9];[10;3];[10;7];[11;2];[11;5];[12;1];[12;3]]
13n_4345,Y,13,4,12,[[1;9];[1;12];[2;4];[2;7];[3;6];[3;10];[4;8];[4;11];[5;2];[5;9];[6;7];[6;12];[7;5];[7;11];[8;1];[8;8];[9;4];[9;10];[10;3];[10;6];[11;2];[11;5];[12;1];[12;3]]
13n_4367,Y,13,5,12,[[1;2];[1;11];[2;7];[2;12];[3;5];[3;8];[4;1];[4;10];[5;6];[5;11];[6;4];[6;9];[7;7];[7;10];[8;8];[8;12];[9;5];[9;9];[10;3];[10;6];[11;2];[11;4];[12;1];[12;3]]
13n_4373,Y,13,3,12,[[1;1];[1;3];[2;2];[2;4];[3;3];[3;6];[4;4];[4;9];[5;5];[5;8];[6;7];[6;10];[7;9];[7;12];[8;1];[8;11];[9;6];[9;12];[10;2];[10;8];[11;5];[11;10];[12;7];[12;11]]
13n_4378,Y,13,3,12,[[1;6];[1;10];[2;8];[2;11];[3;2];[3;10];[4;9];[4;12];[5;7];[5;11];[6;4];[6;8];[7;5];[7;12];[8;1];[8;6];[9;4];[9;9];[10;3];[10;7];[11;2];[11;5];[12;1];[12;3]]
13n_4379,Y,13,3,12,[[1;1];[1;3];[2;2];[2;5];[3;3];[3;7];[4;6];[4;10];[5;7];[5;12];[6;4];[6;11];[7;8];[7;12];[8;5];[8;9];[9;1];[9;6];[10;2];[10;10];[11;8];[11;11];[12;4];[12;9]]
13n_4380,Y,13,4,12,[[1;1];[1;3];[2;2];[2;5];[3;3];[3;8];[4;6];[4;10];[5;1];[5;7];[6;4];[6;9];[7;6];[7;11];[8;8];[8;12];[9;5];[9;10];[10;2];[10;7];[11;4];[11;11];[12;9];[12;12]]
13n_4381,Y,13,4,12,[[1;1];[1;3];[2;2];[2;5];[3;4];[3;7];[4;6];[4;9];[5;1];[5;8];[6;3];[6;10];[7;5];[7;12];[8;2];[8;7];[9;4];[9;11];[10;9];[10;12];[11;6];[11;10];[12;8];[12;11]]
13n_4387,Y,13,4,12,[[1;1];[1;3];[2;2];[2;5];[3;4];[3;8];[4;7];[4;12];[5;5];[5;9];[6;3];[6;8];[7;6];[7;10];[8;4];[8;9];[9;7];[9;11];[10;1];[10;10];[11;6];[11;12];[12;2];[12;11]]
13n_4389,Y,13,4,12,[[1;6];[1;9];[2;7];[2;11];[3;4];[3;10];[4;2];[4;8];[5;5];[5;12];[6;1];[6;11];[7;9];[7;12];[8;6];[8;10];[9;4];[9;7];[10;3];[10;8];[11;2];[11;5];[12;1];[12;3]]
13n_4395,Y,13,4,12,[[1;1];[1;3];[2;2];[2;5];[3;3];[3;10];[4;4];[4;8];[5;6];[5;11];[6;9];[6;12];[7;7];[7;11];[8;1];[8;8];[9;5];[9;10];[10;2];[10;7];[11;4];[11;9];[12;6];[12;12]]
13n_4397,Y,13,4,12,[[1;1];[1;3];[2;2];[2;5];[3;3];[3;8];[4;6];[4;11];[5;1];[5;9];[6;4];[6;10];[7;7];[7;12];[8;5];[8;8];[9;2];[9;6];[10;4];[10;9];[11;7];[11;11];[12;10];[12;12]]
13n_4400,Y,13,3,12,[[1;1];[1;3];[2;2];[2;5];[3;3];[3;8];[4;6];[4;11];[5;1];[5;9];[6;7];[6;12];[7;4];[7;10];[8;8];[8;12];[9;5];[9;11];[10;2];[10;9];[11;6];[11;10];[12;4];[12;7]]
13n_4403,Y,13,4,12,[[1;1];[1;3];[2;2];[2;5];[3;3];[3;7];[4;6];[4;12];[5;1];[5;8];[6;4];[6;9];[7;7];[7;11];[8;8];[8;12];[9;5];[9;10];[10;2];[10;6];[11;9];[11;11];[12;4];[12;10]]
13n_4417,Y,13,5,12,[[1;1];[1;3];[2;2];[2;5];[3;3];[3;8];[4;6];[4;10];[5;7];[5;12];[6;1];[6;9];[7;4];[7;10];[8;2];[8;8];[9;5];[9;11];[10;6];[10;12];[11;4];[11;9];[12;7];[12;11]]
13n_4420,Y,13,4,12,[[1;1];[1;3];[2;2];[2;4];[3;3];[3;6];[4;5];[4;11];[5;4];[5;8];[6;6];[6;12];[7;1];[7;10];[8;7];[8;11];[9;2];[9;9];[10;8];[10;10];[11;5];[11;9];[12;7];[12;12]]
13n_4424,Y,13,4,12,[[1;2];[1;9];[2;4];[2;10];[3;8];[3;12];[4;1];[4;9];[5;6];[5;11];[6;3];[6;8];[7;7];[7;12];[8;6];[8;10];[9;5];[9;11];[10;4];[10;7];[11;2];[11;5];[12;1];[12;3]]
13n_4427,Y,13,4,12,[[1;6];[1;10];[2;8];[2;11];[3;2];[3;9];[4;4];[4;12];[5;3];[5;7];[6;1];[6;10];[7;5];[7;11];[8;8];[8;12];[9;6];[9;9];[10;4];[10;7];[11;2];[11;5];[12;1];[12;3]]
13n_4428,Y,13,4,12,[[1;8];[1;12];[2;2];[2;10];[3;9];[3;11];[4;5];[4;10];[5;7];[5;12];[6;1];[6;8];[7;6];[7;11];[8;4];[8;7];[9;5];[9;9];[10;3];[10;6];[11;2];[11;4];[12;1];[12;3]]
13n_4430,Y,13,4,12,[[1;6];[1;10];[2;8];[2;11];[3;2];[3;10];[4;4];[4;12];[5;1];[5;7];[6;3];[6;9];[7;5];[7;11];[8;8];[8;12];[9;6];[9;9];[10;4];[10;7];[11;2];[11;5];[12;1];[12;3]]
13n_4446,Y,13,4,12,[[1;1];[1;3];[2;2];[2;4];[3;3];[3;7];[4;6];[4;10];[5;1];[5;8];[6;7];[6;12];[7;4];[7;11];[8;9];[8;12];[9;5];[9;10];[10;2];[10;6];[11;8];[11;11];[12;5];[12;9]]
13n_4454,Y,13,4,12,[[1;1];[1;3];[2;2];[2;5];[3;4];[3;9];[4;8];[4;12];[5;6];[5;11];[6;3];[6;9];[7;5];[7;12];[8;1];[8;7];[9;6];[9;10];[10;8];[10;11];[11;4];[11;10];[12;2];[12;7]]
13n_4462,Y,13,3,12,[[1;1];[1;3];[2;2];[2;4];[3;3];[3;6];[4;4];[4;8];[5;5];[5;9];[6;7];[6;11];[7;1];[7;10];[8;6];[8;12];[9;2];[9;9];[10;5];[10;11];[11;8];[11;12];[12;7];[12;10]]
13n_4463,Y,13,3,12,[[1;4];[1;7];[2;6];[2;9];[3;8];[3;11];[4;2];[4;10];[5;9];[5;12];[6;5];[6;11];[7;1];[7;7];[8;6];[8;10];[9;4];[9;12];[10;3];[10;8];[11;2];[11;5];[12;1];[12;3]]
13n_4464,Y,13,4,12,[[1;6];[1;9];[2;7];[2;11];[3;2];[3;10];[4;4];[4;12];[5;1];[5;8];[6;5];[6;11];[7;9];[7;12];[8;6];[8;10];[9;4];[9;8];[10;3];[10;7];[11;2];[11;5];[12;1];[12;3]]
13n_4466,Y,13,3,12,[[1;6];[1;11];[2;7];[2;12];[3;2];[3;9];[4;8];[4;11];[5;4];[5;10];[6;6];[6;12];[7;1];[7;9];[8;5];[8;10];[9;4];[9;8];[10;3];[10;7];[11;2];[11;5];[12;1];[12;3]]
13n_4467,Y,13,3,12,[[1;1];[1;3];[2;2];[2;5];[3;3];[3;8];[4;4];[4;11];[5;6];[5;9];[6;1];[6;7];[7;5];[7;10];[8;8];[8;12];[9;2];[9;9];[10;6];[10;11];[11;4];[11;7];[12;10];[12;12]]
13n_4472,Y,13,4,12,[[1;1];[1;3];[2;2];[2;4];[3;3];[3;5];[4;4];[4;8];[5;7];[5;11];[6;1];[6;9];[7;8];[7;12];[8;5];[8;10];[9;6];[9;11];[10;2];[10;7];[11;9];[11;12];[12;6];[12;10]]
13n_4484,Y,13,5,12,[[1;8];[1;11];[2;2];[2;9];[3;7];[3;12];[4;1];[4;10];[5;4];[5;11];[6;8];[6;12];[7;6];[7;9];[8;3];[8;7];[9;5];[9;10];[10;4];[10;6];[11;2];[11;5];[12;1];[12;3]]
13n_4486,Y,13,4,12,[[1;2];[1;8];[2;5];[2;10];[3;7];[3;11];[4;1];[4;9];[5;8];[5;12];[6;7];[6;10];[7;4];[7;11];[8;6];[8;12];[9;5];[9;9];[10;3];[10;6];[11;2];[11;4];[12;1];[12;3]]
13n_4507,Y,13,4,12,[[1;2];[1;7];[2;4];[2;9];[3;8];[3;12];[4;1];[4;10];[5;6];[5;11];[6;9];[6;12];[7;7];[7;11];[8;3];[8;8];[9;5];[9;10];[10;4];[10;6];[11;2];[11;5];[12;1];[12;3]]
13n_4516,Y,13,4,12,[[1;5];[1;10];[2;7];[2;12];[3;2];[3;8];[4;6];[4;11];[5;4];[5;9];[6;8];[6;12];[7;1];[7;10];[8;7];[8;11];[9;5];[9;9];[10;3];[10;6];[11;2];[11;4];[12;1];[12;3]]
13n_4517,Y,13,4,12,[[1;1];[1;3];[2;2];[2;5];[3;3];[3;7];[4;6];[4;10];[5;1];[5;8];[6;4];[6;9];[7;7];[7;11];[8;2];[8;10];[9;5];[9;12];[10;4];[10;8];[11;6];[11;11];[12;9];[12;12]]
13n_4518,Y,13,4,12,[[1;2];[1;8];[2;4];[2;9];[3;6];[3;12];[4;1];[4;10];[5;8];[5;11];[6;5];[6;10];[7;7];[7;12];[8;3];[8;9];[9;6];[9;11];[10;4];[10;7];[11;2];[11;5];[12;1];[12;3]]
13n_4521,Y,13,4,12,[[1;2];[1;11];[2;6];[2;12];[3;1];[3;7];[4;4];[4;9];[5;6];[5;11];[6;3];[6;8];[7;5];[7;10];[8;9];[8;12];[9;7];[9;10];[10;4];[10;8];[11;2];[11;5];[12;1];[12;3]]
13n_4524,Y,13,4,12,[[1;1];[1;3];[2;2];[2;5];[3;3];[3;8];[4;4];[4;7];[5;5];[5;11];[6;1];[6;9];[7;6];[7;12];[8;2];[8;10];[9;8];[9;11];[10;4];[10;10];[11;7];[11;12];[12;6];[12;9]]
13n_4531,Y,13,4,12,[[1;2];[1;8];[2;6];[2;10];[3;7];[3;12];[4;1];[4;9];[5;4];[5;11];[6;6];[6;12];[7;3];[7;10];[8;8];[8;11];[9;5];[9;9];[10;4];[10;7];[11;2];[11;5];[12;1];[12;3]]
13n_4554,Y,13,4,12,[[1;1];[1;3];[2;2];[2;5];[3;4];[3;7];[4;6];[4;10];[5;9];[5;12];[6;5];[6;11];[7;3];[7;8];[8;7];[8;10];[9;1];[9;9];[10;4];[10;12];[11;2];[11;8];[12;6];[12;11]]
13n_4567,Y,13,4,12,[[1;2];[1;10];[2;7];[2;11];[3;4];[3;10];[4;8];[4;12];[5;6];[5;11];[6;1];[6;9];[7;7];[7;12];[8;3];[8;8];[9;5];[9;9];[10;4];[10;6];[11;2];[11;5];[12;1];[12;3]]
13n_4574,Y,13,4,12,[[1;1];[1;3];[2;2];[2;5];[3;3];[3;8];[4;4];[4;7];[5;6];[5;10];[6;8];[6;12];[7;1];[7;11];[8;5];[8;12];[9;2];[9;9];[10;7];[10;10];[11;4];[11;9];[12;6];[12;11]]
13n_4579,Y,13,4,12,[[1;1];[1;3];[2;2];[2;4];[3;3];[3;7];[4;5];[4;9];[5;6];[5;11];[6;8];[6;12];[7;7];[7;10];[8;1];[8;9];[9;5];[9;11];[10;4];[10;10];[11;2];[11;8];[12;6];[12;12]]
13n_4580,Y,13,4,12,[[1;1];[1;3];[2;2];[2;5];[3;3];[3;7];[4;6];[4;12];[5;1];[5;10];[6;8];[6;11];[7;4];[7;9];[8;5];[8;12];[9;2];[9;10];[10;7];[10;11];[11;4];[11;8];[12;6];[12;9]]
13n_4584,Y,13,4,12,[[1;2];[1;8];[2;4];[2;9];[3;7];[3;11];[4;1];[4;8];[5;6];[5;10];[6;7];[6;12];[7;3];[7;9];[8;5];[8;11];[9;6];[9;12];[10;4];[10;10];[11;2];[11;5];[12;1];[12;3]]
13n_4585,Y,13,4,12,[[1;4];[1;10];[2;2];[2;8];[3;6];[3;11];[4;5];[4;9];[5;7];[5;12];[6;4];[6;11];[7;1];[7;10];[8;8];[8;12];[9;6];[9;9];[10;3];[10;7];[11;2];[11;5];[12;1];[12;3]]
13n_4588,Y,13,5,12,[[1;2];[1;10];[2;8];[2;12];[3;1];[3;9];[4;4];[4;11];[5;7];[5;12];[6;3];[6;8];[7;6];[7;10];[8;7];[8;11];[9;5];[9;9];[10;4];[10;6];[11;2];[11;5];[12;1];[12;3]]
13n_4592,Y,13,4,12,[[1;1];[1;3];[2;2];[2;5];[3;3];[3;7];[4;4];[4;8];[5;6];[5;11];[6;1];[6;9];[7;5];[7;12];[8;2];[8;10];[9;8];[9;11];[10;4];[10;10];[11;7];[11;12];[12;6];[12;9]]
13n_4625,Y,13,4,12,[[1;6];[1;10];[2;8];[2;12];[3;2];[3;9];[4;4];[4;11];[5;7];[5;12];[6;5];[6;8];[7;1];[7;10];[8;6];[8;11];[9;4];[9;9];[10;3];[10;7];[11;2];[11;5];[12;1];[12;3]]
13n_4635,Y,13,4,12,[[1;1];[1;3];[2;2];[2;4];[3;3];[3;6];[4;5];[4;9];[5;4];[5;8];[6;7];[6;10];[7;1];[7;9];[8;6];[8;11];[9;8];[9;12];[10;2];[10;11];[11;5];[11;10];[12;7];[12;12]]
13n_4637,Y,13,5,12,[[1;1];[1;3];[2;2];[2;5];[3;3];[3;8];[4;6];[4;11];[5;1];[5;9];[6;4];[6;7];[7;5];[7;10];[8;6];[8;12];[9;2];[9;8];[10;7];[10;11];[11;9];[11;12];[12;4];[12;10]]
13n_4691,Y,13,4,12,[[1;1];[1;3];[2;2];[2;4];[3;3];[3;7];[4;5];[4;9];[5;6];[5;12];[6;1];[6;10];[7;8];[7;11];[8;4];[8;9];[9;5];[9;12];[10;2];[10;10];[11;7];[11;11];[12;6];[12;8]]
13n_4708,Y,13,4,12,[[1;1];[1;3];[2;2];[2;5];[3;4];[3;7];[4;5];[4;11];[5;6];[5;9];[6;3];[6;8];[7;7];[7;12];[8;1];[8;10];[9;4];[9;11];[10;2];[10;9];[11;6];[11;10];[12;8];[12;12]]
13n_4711,Y,13,4,12,[[1;4];[1;6];[2;5];[2;8];[3;7];[3;10];[4;9];[4;12];[5;2];[5;11];[6;8];[6;12];[7;6];[7;10];[8;1];[8;9];[9;4];[9;11];[10;3];[10;7];[11;2];[11;5];[12;1];[12;3]]
13n_4713,Y,13,4,12,[[1;1];[1;3];[2;2];[2;4];[3;3];[3;5];[4;4];[4;7];[5;5];[5;9];[6;6];[6;10];[7;8];[7;12];[8;1];[8;11];[9;7];[9;12];[10;2];[10;10];[11;6];[11;9];[12;8];[12;11]]
13n_4720,Y,13,4,12,[[1;8];[1;12];[2;2];[2;10];[3;9];[3;11];[4;6];[4;10];[5;7];[5;12];[6;1];[6;8];[7;6];[7;11];[8;5];[8;9];[9;4];[9;7];[10;3];[10;5];[11;2];[11;4];[12;1];[12;3]]
13n_4726,Y,13,3,12,[[1;1];[1;3];[2;2];[2;4];[3;3];[3;6];[4;5];[4;10];[5;9];[5;11];[6;4];[6;10];[7;7];[7;12];[8;1];[8;8];[9;6];[9;11];[10;2];[10;7];[11;5];[11;9];[12;8];[12;12]]
13n_4727,Y,13,3,12,[[1;1];[1;3];[2;2];[2;5];[3;3];[3;7];[4;6];[4;10];[5;4];[5;7];[6;5];[6;12];[7;1];[7;8];[8;6];[8;11];[9;9];[9;12];[10;2];[10;10];[11;8];[11;11];[12;4];[12;9]]
13n_4736,Y,13,3,12,[[1;2];[1;8];[2;5];[2;9];[3;7];[3;11];[4;1];[4;8];[5;6];[5;12];[6;4];[6;10];[7;9];[7;11];[8;7];[8;12];[9;5];[9;10];[10;3];[10;6];[11;2];[11;4];[12;1];[12;3]]
13n_4737,Y,13,4,12,[[1;9];[1;12];[2;6];[2;11];[3;2];[3;7];[4;5];[4;10];[5;8];[5;12];[6;1];[6;9];[7;7];[7;11];[8;6];[8;10];[9;4];[9;8];[10;3];[10;5];[11;2];[11;4];[12;1];[12;3]]
13n_4742,Y,13,4,12,[[1;1];[1;3];[2;2];[2;4];[3;3];[3;6];[4;4];[4;9];[5;7];[5;11];[6;1];[6;8];[7;5];[7;10];[8;6];[8;12];[9;2];[9;11];[10;7];[10;12];[11;5];[11;9];[12;8];[12;10]]
13n_4755,Y,13,4,12,[[1;9];[1;12];[2;6];[2;10];[3;2];[3;7];[4;4];[4;11];[5;5];[5;12];[6;1];[6;9];[7;6];[7;11];[8;4];[8;8];[9;7];[9;10];[10;3];[10;8];[11;2];[11;5];[12;1];[12;3]]
13n_4758,Y,13,4,12,[[1;2];[1;9];[2;7];[2;10];[3;5];[3;9];[4;6];[4;12];[5;1];[5;11];[6;8];[6;12];[7;4];[7;10];[8;7];[8;11];[9;5];[9;8];[10;3];[10;6];[11;2];[11;4];[12;1];[12;3]]
13n_4764,Y,13,4,12,[[1;2];[1;10];[2;7];[2;12];[3;1];[3;11];[4;9];[4;12];[5;4];[5;10];[6;8];[6;11];[7;6];[7;9];[8;3];[8;7];[9;5];[9;8];[10;4];[10;6];[11;2];[11;5];[12;1];[12;3]]
13n_4776,Y,13,4,12,[[1;1];[1;3];[2;2];[2;4];[3;3];[3;7];[4;5];[4;10];[5;1];[5;6];[6;8];[6;12];[7;5];[7;11];[8;4];[8;9];[9;7];[9;12];[10;2];[10;10];[11;8];[11;11];[12;6];[12;9]]
13n_4797,Y,13,5,12,[[1;1];[1;3];[2;2];[2;4];[3;3];[3;6];[4;4];[4;9];[5;5];[5;12];[6;7];[6;10];[7;1];[7;8];[8;6];[8;11];[9;9];[9;12];[10;2];[10;10];[11;7];[11;11];[12;5];[12;8]]
13n_4802,Y,13,3,12,[[1;1];[1;3];[2;2];[2;5];[3;3];[3;6];[4;4];[4;8];[5;7];[5;10];[6;8];[6;12];[7;1];[7;11];[8;5];[8;9];[9;6];[9;12];[10;2];[10;10];[11;7];[11;11];[12;4];[12;9]]
13n_4819,Y,13,5,12,[[1;5];[1;9];[2;8];[2;11];[3;2];[3;10];[4;9];[4;12];[5;7];[5;11];[6;1];[6;8];[7;6];[7;12];[8;5];[8;10];[9;4];[9;7];[10;3];[10;6];[11;2];[11;4];[12;1];[12;3]]
13n_4828,Y,13,4,12,[[1;1];[1;3];[2;2];[2;5];[3;3];[3;7];[4;4];[4;9];[5;6];[5;12];[6;1];[6;8];[7;5];[7;11];[8;7];[8;10];[9;9];[9;12];[10;4];[10;11];[11;2];[11;8];[12;6];[12;10]]
13n_4838,Y,13,5,12,[[1;1];[1;3];[2;2];[2;5];[3;3];[3;6];[4;4];[4;9];[5;5];[5;11];[6;1];[6;7];[7;6];[7;10];[8;8];[8;12];[9;2];[9;9];[10;7];[10;11];[11;4];[11;8];[12;10];[12;12]]
13n_4858,Y,13,3,12,[[1;1];[1;3];[2;2];[2;5];[3;3];[3;8];[4;4];[4;11];[5;6];[5;9];[6;7];[6;12];[7;1];[7;10];[8;5];[8;12];[9;8];[9;11];[10;2];[10;9];[11;6];[11;10];[12;4];[12;7]]
13n_4859,Y,13,4,12,[[1;1];[1;3];[2;2];[2;4];[3;3];[3;7];[4;5];[4;9];[5;1];[5;8];[6;6];[6;12];[7;4];[7;9];[8;5];[8;11];[9;7];[9;12];[10;2];[10;10];[11;8];[11;11];[12;6];[12;10]]
13n_4894,Y,13,5,12,[[1;1];[1;3];[2;2];[2;4];[3;3];[3;6];[4;4];[4;8];[5;5];[5;10];[6;7];[6;12];[7;1];[7;8];[8;6];[8;11];[9;9];[9;12];[10;2];[10;10];[11;7];[11;11];[12;5];[12;9]]
13n_4895,Y,13,5,12,[[1;8];[1;11];[2;2];[2;9];[3;5];[3;12];[4;1];[4;10];[5;7];[5;11];[6;4];[6;8];[7;6];[7;9];[8;7];[8;12];[9;5];[9;10];[10;3];[10;6];[11;2];[11;4];[12;1];[12;3]]
13n_4897,Y,13,5,12,[[1;1];[1;3];[2;2];[2;5];[3;3];[3;7];[4;4];[4;9];[5;6];[5;12];[6;1];[6;10];[7;7];[7;11];[8;5];[8;10];[9;8];[9;12];[10;2];[10;9];[11;6];[11;11];[12;4];[12;8]]
13n_4907,Y,13,5,12,[[1;1];[1;3];[2;2];[2;5];[3;3];[3;8];[4;6];[4;11];[5;4];[5;7];[6;5];[6;9];[7;1];[7;6];[8;2];[8;10];[9;8];[9;12];[10;4];[10;9];[11;7];[11;11];[12;10];[12;12]]
13n_4908,Y,13,4,12,[[1;1];[1;3];[2;2];[2;5];[3;3];[3;7];[4;6];[4;9];[5;4];[5;8];[6;5];[6;10];[7;1];[7;9];[8;7];[8;11];[9;4];[9;10];[10;8];[10;12];[11;2];[11;11];[12;6];[12;12]]
13n_4943,Y,13,4,12,[[1;1];[1;3];[2;2];[2;4];[3;3];[3;5];[4;4];[4;7];[5;6];[5;10];[6;5];[6;9];[7;8];[7;11];[8;1];[8;10];[9;7];[9;12];[10;2];[10;9];[11;6];[11;11];[12;8];[12;12]]
13n_4968,Y,13,4,12,[[1;6];[1;10];[2;2];[2;8];[3;7];[3;12];[4;6];[4;9];[5;4];[5;11];[6;8];[6;12];[7;1];[7;10];[8;5];[8;11];[9;4];[9;9];[10;3];[10;7];[11;2];[11;5];[12;1];[12;3]]
13n_4979,Y,13,3,12,[[1;1];[1;3];[2;2];[2;4];[3;3];[3;6];[4;5];[4;9];[5;1];[5;8];[6;6];[6;11];[7;4];[7;10];[8;7];[8;12];[9;5];[9;11];[10;2];[10;9];[11;8];[11;12];[12;7];[12;10]]
